zero     cero
one      uno
two      dos
three    tres
four     cuatro
five     cinco
six      seis
seven    siete
eight    ocho
nine     nueve
ten      diez
bathroom bano
thanks   gracias
good     bueno
bad      mala
friend   amigo
before   antes
after    despues
more     mas
less     menos
hello    hola
goodbye  adios
boy      chico
girl     chica
man      hombre
woman    mujer
happy    feliz
sad      triste
yes      si
no       no
big      grande
small    pequeno
over     encima
under    bajo
always   siempre
never    nunca
thing    cosa
